Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App#,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
07/19/2021 12:00:00 AM,Cancelled,Special Event,Community,,Sounders FC March to the Match (9.11),S21SE067,09/11/2021 12:00:00 AM,09/11/2021 12:00:00 AM,Occidental Park,Duwamish / SODO;Pioneer Square,7,West,Seattle Sounders FC,500
07/19/2021 12:00:00 AM,Cancelled,Special Event,Community,,Sounders FC March to the Match (9.15),S21SE068,09/15/2021 12:00:00 AM,09/15/2021 12:00:00 AM,Occidental Park,Duwamish / SODO;Pioneer Square,7,West,Seattle Sounders FC,500
07/21/2021 12:00:00 AM,Complete,Special Event,Commercial,,PAX West 9th Ave,S21SE075,09/03/2021 12:00:00 AM,09/06/2021 12:00:00 AM,,Downtown,7,West,Reed Exhibitions,100000
07/22/2021 12:00:00 AM,Complete,Special Event,Commercial,,PAX West Queuing,S21SE076,09/03/2021 12:00:00 AM,09/06/2021 12:00:00 AM,Freeway Park,Downtown,7,West,Washington State Convention Center,100000
07/30/2021 12:00:00 AM,Cancelled,Special Event,Community,,Creative Justice Block Party,S21SE080,09/04/2021 12:00:00 AM,09/04/2021 12:00:00 AM,,First Hill,3,East,Creative Justice,330
08/10/2021 12:00:00 AM,Complete,Special Event,Community,,UW Husky Marching Band Rally (9.17),S21SE086,09/17/2021 12:00:00 AM,09/17/2021 12:00:00 AM,,University District,4,North,Husky Athletic Bands,1010
08/10/2021 12:00:00 AM,Complete,Special Event,Community,,UW Husky Marching Band Rally (9.24),S21SE087,09/24/2021 12:00:00 AM,09/24/2021 12:00:00 AM,,University District,4,North,Husky Athletic Bands,1010
08/17/2021 12:00:00 AM,Complete,Special Event,Community,,ENAT Inc. Empowering Ethiopian Women,S21SE095,09/04/2021 12:00:00 AM,09/04/2021 12:00:00 AM,Seward Park,Seward Park,2,South,ENAT Inc.,800
08/17/2021 12:00:00 AM,Complete,Special Event,Community,,Beers & Bites September,S21SE096,09/16/2021 12:00:00 AM,09/18/2021 12:00:00 AM,Occidental Park,Pioneer Square,7,West,Downtown Seattle Association,960
08/30/2021 12:00:00 AM,Cancelled,Special Event,Commercial,,Ballard Oktoberfest,S21SE098,09/18/2021 12:00:00 AM,09/18/2021 12:00:00 AM,,Ballard,6,North,Reuben's Brews,510
08/31/2021 12:00:00 AM,Issued,Special Event,Community,,Celebrate Black Lives Matter,S21SE099,09/18/2021 12:00:00 AM,09/18/2021 12:00:00 AM,,Downtown,7,West,City of Seattle - Office of the Mayor,225
