OBJECTID,COMPKEY,COMPTYPE,UNITID,UNITID2,UNITIDSORT,UNITDESC,STNAME_ORD,ONSTREET,XSTRLO,XSTRHI,ARTCLASS,ARTDESCRIPT,OWNER,STATUS,BLOCKNBR,SPEEDLIMIT,SEGDIR,ONEWAY,ONEWAYDIR,FLOW,SEGLENGTH,SURFACEWIDTH,SURFACETYPE_1,SURFACEDATE_1,SURFACETYPE_2,SURFACEDATE_2,INTRLO,DIRLO,INTKEYLO,INTRHI,DIRHI,INTKEYHI,GIS_MID_X,GIS_MID_Y,SGNDBKROUTE,NGHBRHDGRNWY,NATIONHWYSYS,STREETTYPE,MJTRK_STR_FLAG,PVMTCONDINDX1,PVMTCONDINDX2,TRANCLASS,TRANDESCRIPT,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,SLOPE_PCT,PVMTCATEGORY,PARKBOULEVARD,SHAPE_Length
23381,12717,68,09555,0590,095550590,SAND POINT WAY NE BETWEEN NE 59TH ST AND NE 60TH ST,SAND POINT WAY NE,SAND POINT WAY NE,NE 59TH ST,NE 60TH ST,1,Principal Arterial,WSDOT,INSVC,5900,30,NE,N, , ,181,42,PCC,2017/09/26 00:00:00+00,,,SAND POINT WAY NE AND NE 59TH ST,NE,26319,SAND POINT WAY NE AND NE 60TH ST,SW,26292,1286882.53101057,248399.59301041,N,N,N,Urban Center Connector,,78,0,3,MINOR TRANSIT ROUTE,DISTRICT4, ,N,2,ART,N,181.290170501115
23384,14516,68,11375,0250,113750250,EAST MONTLAKE PL E BETWEEN 24TH AVE E AND E ROANOKE ST,EAST MONTLAKE PL E,EAST MONTLAKE PL E,24TH AVE E,E ROANOKE ST,1,Principal Arterial, ,INSVC,2500,25,NW,N, , ,358,57,AC/PCC,2017/10/07 00:00:00+00,,,24TH AVE E AND EAST MONTLAKE PL E,NW,28402,EAST MONTLAKE PL E AND E ROANOKE ST,SE,28395,1278257.06380174,237931.8790157,N,N,Y,Urban Center Connector,,29,0,2,MAJOR TRANSIT ROUTE,DISTRICT3, ,N,1,ART,N,358.329451839279
23385,15259,68,11975,0010,119750010,N 145TH ST BETWEEN 1ST AVE NW AND GREENWOOD AVE N,N 145TH ST,N 145TH ST,1ST AVE NW,GREENWOOD AVE N,3,Collector Arterial, ,INSVC,100,25,E,N, , ,885,24,PCC,2017/10/26 00:00:00+00,,,1ST AVE NW AND NW 145TH ST,E,35581,GREENWOOD AVE N AND N 145TH ST,W,35778,1265406.43114857,271502.64935407,N,N,N,Neighborhood Corridor,,81,0,3,MINOR TRANSIT ROUTE,DISTRICT5, ,N,4,ART,N,885.087291704856
23387,16513,68,12984,0100,129840100,NE 125TH SR ST BETWEEN ROOSEVELT WAY NE AND NE 125TH N ST,NE 125TH SR ST,NE 125TH SR ST,ROOSEVELT WAY NE,NE 125TH N ST,3,Collector Arterial, ,INSVC,1000,25,NE,Y,NE,F,122,20,PCC,2017/09/24 00:00:00+00,,,ROOSEVELT WAY NE AND NE 125TH S ST,NE,36431,NE 125TH ST AND NE 125TH SR ST,SW,35903,1275012.66962241,265981.98701242,N,N,N,Neighborhood Corridor,,52,0,3,MINOR TRANSIT ROUTE,DISTRICT5, ,N,7,ART,N,121.878893512767
23391,19225,68,15130,0110,151300110,NW MARKET ST BETWEEN 11TH AVE NW AND 14TH AVE NW,NW MARKET ST,NW MARKET ST,11TH AVE NW,14TH AVE NW,1,Principal Arterial, ,INSVC,1100,25,W,N, , ,697,61,PCC,2017/10/28 00:00:00+00,AC/PCC,2017/11/04 00:00:00+00,11TH AVE NW AND NW MARKET ST,W,25422,14TH AVE NW AND NW MARKET ST,E,25423,1261286.59575236,247698.6090737,N,N,Y,Urban Village Main,,72,44,2,MAJOR TRANSIT ROUTE,DISTRICT6, ,N,1,ART,N,697.013254912111
23392,19813,68,15710,0520,157100520,S DAWSON ST BETWEEN 52ND AVE S AND SEWARD PARK AVE S,S DAWSON ST,S DAWSON ST,52ND AVE S,SEWARD PARK AVE S,3,Collector Arterial, ,INSVC,5200,25,E,N, , ,574,20,AC/PCC,2017/10/24 00:00:00+00,,,52ND AVE S AND S DAWSON ST,E,33672,SEWARD PARK AVE S AND S DAWSON ST,W,33681,1286423.46803409,205688.28160667,Y,N,N,Neighborhood Corridor,,24,0,3,MINOR TRANSIT ROUTE,DISTRICT2, ,N,3,ART,N,574.03920963975
23393,20381,68,16235,0010,162350010,S HORTON ST BETWEEN 1ST AVE S AND OCCIDENTAL AVE S,S HORTON ST,S HORTON ST,1ST AVE S,OCCIDENTAL AVE S,0,Not Designated, ,INSVC,100,20,E,N, , ,229,0,PCC,,,,1ST AVE S AND S HORTON ST,E,32333,OCCIDENTAL AVE S AND S HORTON ST,W,32332,1270084.36900936,213128.7352463,N,N,N,Minor Industrial Access,,0,0,4,LOCAL TRANSIT ROUTE,DISTRICT2, ,N,1,NON-ART,N,229.464687059565
23394,21218,68,16895,0050,168950050,S ROYAL BROUGHAM WAY BETWEEN 5TH AVE S AND 6TH AVE S,S ROYAL BROUGHAM WAY,S ROYAL BROUGHAM WAY,5TH AVE S,6TH AVE S,1,Principal Arterial, ,INSVC,500,25,E,N, , ,352,56,AC,2017/10/11 00:00:00+00,,,5TH AVE S AND S ROYAL BROUGHAM WAY,E,30565,6TH AVE S AND S ROYAL BROUGHAM WAY,W,30554,1271953.44408327,219663.481557,Y,N,Y,Industrial Access,Y,51,0,3,MINOR TRANSIT ROUTE,DISTRICT2, ,N,1,ART,N,352.163165191034
23396,22216,68,17720,0460,177200460,SW GENESEE ST BETWEEN GLENN WAY SW AND 47TH AVE SW,SW GENESEE ST,SW GENESEE ST,GLENN WAY SW,47TH AVE SW,3,Collector Arterial, ,INSVC,4600,25,W,N, , ,325,42,PCC,2017/10/23 00:00:00+00,,,GLENN WAY SW AND SW GENESEE ST,W,31987,47TH AVE SW AND SW GENESEE ST,E,31986,1255761.0171227,209902.706955,N,N,N,Neighborhood Corridor,,61,0,3,MINOR TRANSIT ROUTE,DISTRICT1, ,N,2,ART,N,324.895192797376
23405,8999,68,05250,1410,052501410,AURORA AVE N BETWEEN N 141ST ST AND N 143RD ST,AURORA AVE N,AURORA AVE N,N 141ST ST,N 143RD ST,1,Principal Arterial,WSDOT,INSVC,14100,35,N,N, , ,464,0,,,,,AURORA AVE N AND N 141ST ST,N,35722,AURORA AVE N AND N 143RD ST,S,35721,1268414.91825566,270545.93165709,N,N,N,Urban Village Main,Y,0,0,2,MAJOR TRANSIT ROUTE,DISTRICT5, ,N,1,ART,N,463.639340839019
23408,13085,68,10015,0141,100150141,TAYLOR AVE N BETWEEN TAYLOR UPPER AVE N AND GALER ST,TAYLOR AVE N,TAYLOR AVE N,TAYLOR UPPER AVE N,GALER ST,2,Minor Arterial, ,INSVC,1400,25,N,N, , ,237,40,AC/PCC,2017/10/04 00:00:00+00,,,TAYLOR AVE N AND TAYLOR UPPER AVE N,N,28891,GALER ST AND TAYLOR AVE N,S,28814,1267463.63793468,234191.35216387,Y,N,N,Urban Center Connector,,76,0,2,MAJOR TRANSIT ROUTE,DISTRICT7, ,N,6,ART,N,237.028361490628
23412,19700,68,15620,0230,156200230,S COLUMBIAN WAY BETWEEN BEACON ER AVE S AND 24TH AVE S,S COLUMBIAN WAY,S COLUMBIAN WAY,BEACON ER AVE S,24TH AVE S,1,Principal Arterial, ,INSVC,2300,25,E,N, , ,323,41,AC,2017/10/12 00:00:00+00,,,BEACON ER AVE S AND S COLUMBIAN WAY,E,166923,24TH AVE S AND S COLUMBIAN WAY,W,33303,1277384.22373684,207639.45332068,Y,N,Y,Urban Center Connector,,32,0,2,MAJOR TRANSIT ROUTE,DISTRICT2, ,N,6,ART,N,323.059870169635
